Player Name,Composite Metric,Salary
Jaylin Williams,13.056799999999999,2000000
Joe Ingles,13.01675,6479000
Ish Wainright,12.9035,474851
Aaron Holiday,12.885899999999998,1836090
Chris Duarte,12.84345,3936960
Theo Maledon,12.8401,1900000
Rudy Gay,12.8139,6184500
Robert Covington,12.80725,12307692
Aleksej Pokusevski,12.586699999999999,3261480
Miles McBride,12.562899999999997,1563518
Thaddeus Young,12.522250000000001,8000000
Landry Shamet,12.483850000000002,9500000
Haywood Highsmith,12.33655,1752638
Christian Koloko,12.328999999999999,1500000
Jeremiah Robinson-Earl,12.257200000000003,2000000
Daishen Nix,12.2321,1563518
Simone Fontecchio,12.22845,3205128
Jae'Sean Tate,12.138999999999998,7065217
Zeke Nnaji,12.138050000000002,2498760
T.J. Warren,12.079450000000001,1836090
Danuel House Jr.,12.0386,4105000
Romeo Langford,11.94335,5634257
R.J. Hampton,11.926499999999999,485403
Sandro Mamukelashvili,11.856100000000001,357717
Austin Rivers,11.841750000000001,1836090
Day'Ron Sharpe,11.7972,2109480
MarJon Beauchamp,11.69975,2485200
Jericho Sims,11.6988,1639842
Jabari Walker,11.64595,1017781
Garrison Mathews,11.64315,2000000
Malachi Flynn,11.627999999999998,2145720
Willy Hernangomez,11.606349999999999,2443581
Anthony Gill,11.5919,1836090
George Hill,11.418499999999998,4000000
Justise Winslow,11.40545,4097561
Darius Bazley,11.3627,4264629
Jaxson Hayes,11.34755,6803012
Payton Pritchard,11.3456,2239200
Eugene Omoruyi,11.337150000000001,555402
Charles Bassey,11.2122,2600000
Dean Wade,11.160599999999999,1930681
Bryce McGowens,11.0298,1075000
Maxi Kleber,11.0178,9000000
Wesley Matthews,10.938149999999998,1836090
DeAndre Jordan,10.91325,1836090
Juan Toscano-Anderson,10.837399999999999,1836090
Duncan Robinson,10.808549999999999,16902000
Caleb Houstan,10.71315,2000000
Shaquille Harrison,10.56085,12260
Jordan McLaughlin,10.551050000000002,2160000
Justin Holiday,10.498849999999997,569821
Patty Mills,10.415550000000001,6479000
Blake Griffin,10.379249999999999,1836090
Taj Gibson,10.336000000000002,1836090
Dewayne Dedmon,10.2555,580373
Kai Jones,10.2479,2909040
Goga Bitadze,10.2126,612181
Amir Coffey,10.1943,3395062
Ricky Rubio,10.167150000000001,5853659
Lindy Waters III,10.159650000000001,1927896
Raul Neto,10.125900000000001,1836090
Blake Wesley,10.101050000000003,2385480
Duane Washington Jr.,10.09335,1563518
Davis Bertans,10.05655,16000000
Ousmane Dieng,10.016,4569840
Svi Mykhailiuk,9.962250000000003,1836090
JaVale McGee,9.932,5461219
Isaiah Roby,9.9266,400000
Bruno Fernando,9.92635,2717391
Ziaire Williams,9.851449999999998,4591680
Stanley Johnson,9.73665,1245164
Frank Ntilikina,9.7032,2036318
Keon Johnson,9.688799999999999,2681040
Javonte Green,9.578249999999999,1815677
Damian Jones,9.472,2298385
James Bouknight,9.4479,4362240
Moses Brown,9.27175,19186
Rodney McGruder,9.260399999999999,1836090
Juancho Hernangomez,9.256049999999998,1836090
Ish Smith,9.05985,4750000
Luka Samanic,9.027800000000001,2959080
Saben Lee,8.975249999999999,1752638
Richaun Holmes,8.845900000000002,11215260
Admiral Schofield,8.84255,516508
Chuma Okeke,8.807599999999999,3433320
Max Christie,8.78075,1017781
Johnny Davis,8.7643,4810320
Luka Garza,8.76215,925258
Jae Crowder,8.758949999999999,10183000
Evan Fournier,8.74685,18000000
Udoka Azubuike,8.720949999999998,2174880
Nate Williams,8.690749999999998,52644
Gorgui Dieng,8.619250000000003,622582
Nathan Knight,8.5234,1836090
TyTy Washington Jr.,8.50315,2210040
Dalano Banton,8.486149999999999,1563318
Markieff Morris,8.42045,1836090
Davon Reed,8.411650000000003,1902133
Furkan Korkmaz,8.3216,5000000
Theo Pinson,8.2678,1836090
Kessler Edwards,7.984349999999998,1637966
Gary Payton II,7.9247,8300000
Robin Lopez,7.897,1836090
Jake LaRavia,7.854449999999999,3047640
Brandon Boston Jr.,7.8359000000000005,1563518
